Id,Creation Time,Owner,Monitoring Time,parameters/model,parameters/batch_size,parameters/lr,training/val_acc (average),training/val_loss (average),config/hyperparameters/model_type,config/hyperparameters/batch_size,config/hyperparameters/lr,training/batch/acc (average),training/batch/loss (average),training/batch/f1_score (average),training/batch/pearsonr_score (average)
FIN-52,2021-12-29 10:43:46,pinchennnn,1952,vgg,4,1.0E-4,0.7609722274541855,0.8932624906301498,,,,,,,
FIN-51,2021-12-29 00:36:09,pinchennnn,2056,vgg,4,1.0E-4,0.7273611038923263,1.0730722105503083,,,,,,,
FIN-50,2021-12-29 00:31:45,pinchennnn,645,vgg,4,1.0E-4,0.3888888955116272,1.6801427602767944,,,,,,,
FIN-49,2021-12-29 00:20:14,pinchennnn,1266,vgg,4,1.0E-4,0.6914893515566563,1.1689623695738771,,,,,,,
FIN-48,2021-12-27 20:48:13,pinchennnn,1992,vgg,4,1.0E-4,0.8069444429874421,0.9271280628442764,,,,,,,
FIN-47,2021-12-27 20:47:36,pinchennnn,614,squeezenet,4,1.0E-4,0.2916666716337204,1.9621196389198303,,,,,,,
FIN-46,2021-12-22 09:38:18,pinchennnn,605,densenet,4,1.0E-4,,,,,,,,,
FIN-45,2021-12-22 09:30:57,pinchennnn,613,densenet,4,1.0E-4,,,,,,,,,
FIN-44,2021-12-22 09:20:32,pinchennnn,862,,,,,,vgg,16,0.001,,,,
FIN-43,2021-12-21 16:44:36,pinchennnn,6813,densenet,4,1.0E-4,0.5097905338787642,2.401260051570955,,,,,,,
FIN-42,2021-12-21 16:43:53,pinchennnn,6857,densenet,4,1.0E-4,,,,,,,,,
FIN-41,2021-12-21 16:43:01,pinchennnn,6907,densenet,4,1.0E-4,,,,,,,,,
FIN-40,2021-12-21 15:27:17,pinchennnn,1405,alexnet,4,0.001,0.14444445043802262,2.084974343776703,,,,,,,
FIN-39,2021-12-21 15:19:34,pinchennnn,1035,alexnet,8,0.001,0.13944445103406905,2.0978728103637696,,,,,,,
FIN-38,2021-12-21 15:08:41,pinchennnn,854,alexnet,16,0.001,0.4459722276031971,5.769897583723068,,,,,,,
FIN-37,2021-12-21 15:03:11,pinchennnn,771,alexnet,32,0.001,0.29597222357988356,8.828912756443025,,,,,,,
FIN-36,2021-12-21 15:00:15,pinchennnn,734,alexnet,64,0.001,0.4593055648356676,4.012726469039917,,,,,,,
FIN-35,2021-12-21 14:57:29,pinchennnn,735,alexnet,64,1.0E-4,0.4537499971687794,3.29858412027359,,,,,,,
FIN-34,2021-12-21 14:53:46,pinchennnn,771,alexnet,32,1.0E-4,0.3262500056624413,4.203626794815063,,,,,,,
FIN-33,2021-12-21 14:41:39,pinchennnn,856,alexnet,16,1.0E-4,0.44347222536802294,4.026857722997665,,,,,,,
FIN-32,2021-12-21 14:27:54,pinchennnn,1402,alexnet,4,1.0E-4,0.444861116707325,5.573320270776748,,,,,,,
FIN-31,2021-12-21 14:19:17,pinchennnn,1036,alexnet,8,1.0E-4,0.5156944531202317,4.150522001981735,,,,,,,
FIN-30,2021-12-21 14:18:41,pinchennnn,618,alexnet,8,1.0E-4,0.3769841321877071,2.3093362706048146,,,,,,,
FIN-29,2021-12-21 14:17:43,pinchennnn,15621,alexnet,8,1.0E-4,,,,,,,,,
FIN-28,2021-12-21 13:50:22,pinchennnn,2032,vgg,4,1.0E-4,0.7690277904272079,1.2444778871536255,,,,,,,
FIN-27,2021-12-21 13:14:22,pinchennnn,1691,vgg,64,0.001,0.34999999940395354,4.218388718366623,,,,,,,
FIN-26,2021-12-21 12:47:54,pinchennnn,1964,vgg,32,0.001,0.3043055541068316,5.1822221100330355,,,,,,,
FIN-25,2021-12-21 12:13:44,pinchennnn,2247,vgg,16,0.001,0.49055555447936056,3.102800278663635,,,,,,,
FIN-24,2021-12-21 11:47:14,pinchennnn,1909,vgg,8,0.001,0.5563888894021511,2.944743276834488,,,,,,,
FIN-23,2021-12-21 02:36:59,pinchennnn,2036,vgg,4,0.001,0.4676388907432556,3.283856884241104,,,,,,,
FIN-22,2021-12-21 01:50:19,pinchennnn,2042,vgg,4,1.0E-4,0.7734722355008126,1.3001316201686859,,,,,,,
FIN-21,2021-12-21 00:33:05,pinchennnn,3526,vgg,32,1.0E-4,0.6934722131490707,1.1576708686351775,,,,,,,
FIN-20,2021-12-20 23:55:00,pinchennnn,2246,vgg,16,1.0E-4,0.6719444465637207,1.107173523902893,,,,,,,
FIN-19,2021-12-20 19:10:04,pinchennnn,12181,,,,,,vgg,16,0.001,0.17385752874040064,2.512391966448374,0.17385752874040064,0.01766543271144745
FIN-18,2021-12-20 15:40:05,pinchennnn,13164,,,,,,vgg,16,0.001,0.1956098990803134,2.678982340541379,0.1956098990803134,0.28453287077218575
